Arm,Reward,Regret,Algorithm
3,4.158091369845172,0,Epsilon-Greedy
3,4.044053732429471,0,Epsilon-Greedy
3,3.839077463355819,0,Epsilon-Greedy
3,2.494887945619844,0,Epsilon-Greedy
3,3.381244829577601,0,Epsilon-Greedy
3,4.559977448656219,0,Epsilon-Greedy
3,4.00089578855877,0,Epsilon-Greedy
3,2.759538442429891,0,Epsilon-Greedy
3,3.0679940690012124,0,Epsilon-Greedy
3,4.222607495453829,0,Epsilon-Greedy
3,3.539008290733028,0,Epsilon-Greedy
3,5.219495894052317,0,Epsilon-Greedy
3,3.0236615855830955,0,Epsilon-Greedy
3,4.486780096515603,0,Epsilon-Greedy
3,4.727868219817964,0,Epsilon-Greedy
3,3.963186247922445,0,Epsilon-Greedy
3,2.7679636666298286,0,Epsilon-Greedy
3,4.7474157168116715,0,Epsilon-Greedy
3,5.224767636412156,0,Epsilon-Greedy
3,4.124592490371104,0,Epsilon-Greedy
3,4.0664559703878504,0,Epsilon-Greedy
3,3.8306382874171323,0,Epsilon-Greedy
3,4.334435642894546,0,Epsilon-Greedy
3,4.817587663636936,0,Epsilon-Greedy
3,3.7653065053798445,0,Epsilon-Greedy
3,4.933492186917013,0,Epsilon-Greedy
3,4.354859068374662,0,Epsilon-Greedy
3,5.741918735454419,0,Epsilon-Greedy
3,4.235296851581764,0,Epsilon-Greedy
3,5.380346635609355,0,Epsilon-Greedy
3,4.959780750959608,0,Epsilon-Greedy
3,4.685192749729021,0,Epsilon-Greedy
3,5.074537986561287,0,Epsilon-Greedy
3,3.6607600628656902,0,Epsilon-Greedy
3,5.007917306816114,0,Epsilon-Greedy
3,4.0311653364466355,0,Epsilon-Greedy
3,2.3573359711668203,0,Epsilon-Greedy
3,4.371286748050192,0,Epsilon-Greedy
3,3.4601254719626597,0,Epsilon-Greedy
3,4.723197473230783,0,Epsilon-Greedy
3,5.177552079597296,0,Epsilon-Greedy
3,5.782854243191246,0,Epsilon-Greedy
3,3.789444726656619,0,Epsilon-Greedy
3,4.969628996313698,0,Epsilon-Greedy
3,3.7209857087029796,0,Epsilon-Greedy
3,3.124616446898152,0,Epsilon-Greedy
3,4.283190075303349,0,Epsilon-Greedy
3,5.153716794497201,0,Epsilon-Greedy
3,3.6730334513326417,0,Epsilon-Greedy
3,4.9559836720765045,0,Epsilon-Greedy
3,5.165802262160994,0,Epsilon-Greedy
3,3.8535418923061373,0,Epsilon-Greedy
3,3.5929967608411584,0,Epsilon-Greedy
3,3.6112217869533607,0,Epsilon-Greedy
3,3.4822465525458783,0,Epsilon-Greedy
3,4.493888563989501,0,Epsilon-Greedy
3,3.9478639970953715,0,Epsilon-Greedy
3,3.9662993525815726,0,Epsilon-Greedy
3,3.222791974398726,0,Epsilon-Greedy
3,5.746215633832671,0,Epsilon-Greedy
3,2.765096847596806,0,Epsilon-Greedy
3,1.6211521067741943,0,Epsilon-Greedy
3,4.497941273151684,0,Epsilon-Greedy
3,2.4512482611856745,0,Epsilon-Greedy
3,4.148845676505283,0,Epsilon-Greedy
3,4.391893677853308,0,Epsilon-Greedy
3,3.654545421790722,0,Epsilon-Greedy
